requirement,status,assessment,next
N01,大体落实，局部修正,配置实际加载，官方类型和compactionEntry路径已改；命令切profile没有刷新hash，overflow事件被略过,"R03,R07"
N02,已落实核心目标,统一refForField与UTF8正文hash；本次中文emoji精确回读成功；返回类型为FieldRef再encode而非旧签名属于合理接口重组,R04只修cursor生命周期，不重写Hash
N03,部分落实,SQL先过滤workspace/session/ancestor，持久索引存在；worker删除可接受，但全量重扫/配额去重顺序和跨工具cursor仍未闭环,"R04,R05"
N04,核心完成，分页未闭环,真图片block、UTF8边界与容量失败已实现；nextCursor未送模型、游标不验ref,R04
N05,关键语义未满足,删持久ExposureLedger可降低复杂度；全文件成功assistant推断并不等于原文字段成功进入当次请求,"R02,R03"
N06,部分落实,冻结替换、错误/近期保护存在；规划可处理已经被compact移出当前请求的祖先，重复ID批次不拒绝,"R02,R03"
N07,有意移除，可接受,Pin/capsule/semantic均从首发删除；既然不接管Native摘要，旧胶囊位置问题不应重新开工,保持删除
N08,部分落实,新增request/fold及engine记录；Pi分桶语义、终态过滤、摘要/失败成本、重试和偶数中位数有误,"R07,R08"
N09,判题改善，Agent边界退化,候选不再宿主判题；但Agent自己的models.json再次写真实Key，H03直接宿主执行,R06
N10,部分落实,真实native/observe/balanced模式有post-run校验；run依赖可修改仓库场景，入口hash不能替代完整模块和配置绑定，原始run未在附件,"R08,R09"
N11,未满足折叠后质量主目标,L01-L06明确无折叠用于干扰回归，H01/H02为特定能力；这和旧8个历史必要质量任务不同，不能静默当作等价,R09
N12,完成受控接线阶段，试用证据不足,有官方宿主+fake Provider+pack测试；37次自报完成非本次复跑；H03无fold、H02引用丢失、cost门非净收益,"R01,R08,R10"
